résultat,"nombre de coups"
gagné,4
gagné,1
gagné,3
gagné,4
gagné,7
gagné,8
gagné,6
perdu,10
perdu,10
perdu,10
gagné,5
perdu,10
gagné,7
gagné,8
perdu,10
